,S1,S2,S3,INCREMENT
0,89.04,63.91,-0.73,increment1
1,76.01,62.79,-0.75,increment1
2,23.09,63.91,-0.76,increment1
3,78.31,63.91,-0.76,increment1
4,78.31,64.29,-0.77,increment1
5,22.66,65.86,-0.75,increment1
6,9.74,63.16,-0.75,increment1
7,46.75,62.42,-0.79,increment1
8,15.18,64.29,-0.79,increment1
9,24.25,48.13,-0.77,increment1
10,149.46,63.91,-0.78,increment1
11,67.99,64.29,-0.77,increment1
12,32.66,31.69,-0.77,increment1
13,99.17,63.91,-0.75,increment1
14,11.82,64.29,-0.73,increment1
15,16.56,62.42,-0.75,increment1
16,11.09,59.63,-0.77,increment1
17,38.78,62.79,-0.76,increment1
18,76.01,64.29,-0.74,increment1
19,116.73,65.07,-0.75,increment1
20,73.84,64.29,-0.76,increment1
21,149.46,64.29,-0.75,increment1
22,122.11,65.07,-0.76,increment1
23,141.57,61.35,-0.78,increment1
24,223.31,65.86,-0.77,increment1
25,47.63,32.11,-0.76,increment1
26,51.51,62.06,-0.77,increment1
27,149.46,64.29,-0.76,increment1
28,26.07,63.91,-0.75,increment1
29,66.24,63.16,-0.74,increment1
30,61.47,64.29,-0.73,increment1
31,243.04,65.07,-0.78,increment1
32,206.47,51.22,-0.76,increment1
33,51.51,63.53,-0.77,increment1
34,67.99,64.29,-0.75,increment1
35,16.68,63.91,-0.74,increment1
36,76.01,62.79,-0.75,increment1
37,149.46,66.27,-0.76,increment1
38,149.46,64.29,-0.75,increment1
39,21.84,63.53,-0.75,increment1
40,243.04,64.29,-0.76,increment1
41,22.66,64.29,-0.78,increment1
42,78.31,62.06,-0.77,increment1
43,57.33,64.29,-0.77,increment1
44,179.26,31.48,-0.77,increment1
45,69.84,64.29,-0.75,increment1
46,76.01,63.91,-0.74,increment1
47,12.86,67.93,-0.75,increment1
48,11.47,46.82,-0.77,increment1
49,16.91,64.29,-0.76,increment1
50,47.63,62.42,-0.75,increment1
51,76.01,65.46,-0.75,increment1
52,86.1,64.29,-0.78,increment1
53,122.11,63.91,-0.77,increment1
54,158.26,32.42,-0.77,increment1
55,92.18,63.16,-0.8,increment1
56,34.48,61.35,-0.77,increment1
57,243.04,65.86,-0.74,increment1
58,64.57,64.29,-0.76,increment1
59,23.32,48.58,-0.77,increment1
60,122.11,62.79,-0.76,increment1
61,76.01,64.29,-0.76,increment1
62,67.99,63.91,-0.74,increment1
63,122.11,64.29,-0.74,increment1
64,13.61,48.58,-0.77,increment1
65,243.04,65.86,-0.75,increment1
66,243.04,63.91,-0.72,increment1
67,19.54,61.35,-0.72,increment1
68,95.55,61.7,-0.75,increment1
69,67.99,62.79,-0.76,increment1
70,67.99,31.48,-0.77,increment1
71,76.01,63.16,-0.75,increment1
72,22.66,63.91,-0.75,increment1
73,18.48,65.86,-0.75,increment1
74,51.51,64.29,-0.75,increment1
75,14.18,58.97,-0.74,increment1
76,86.1,62.79,-0.72,increment1
77,373.24,31.08,-0.72,increment1
78,67.99,64.29,-0.73,increment1
79,78.31,63.91,-0.71,increment1
80,17.41,32.0,-0.73,increment1
81,8.12,61.0,-0.75,increment1
82,9.74,63.16,-0.73,increment1
83,21.84,62.79,-0.75,increment1
84,24.74,62.42,-0.74,increment1
85,45.89,63.16,-0.74,increment1
86,99.17,64.29,-0.74,increment1
87,76.01,64.29,-0.73,increment1
88,18.2,63.91,-0.73,increment1
89,23.54,64.29,-0.74,increment1
90,41.35,64.29,-0.74,increment1
91,inf,30.88,-0.77,increment1
92,39.4,64.29,-0.77,increment1
93,103.06,65.07,-0.74,increment1
94,69.84,64.29,-0.73,increment1
95,76.01,64.29,-0.75,increment1
96,86.1,65.07,-0.72,increment1
97,67.99,63.91,-0.73,increment1
98,243.04,64.29,-0.75,increment1
99,243.04,64.29,-0.76,increment1
100,14.01,53.31,-0.65,INCREMENT2
101,243.04,63.91,-0.65,INCREMENT2
102,52.58,68.36,-0.65,INCREMENT2
103,89.04,60.31,-0.64,INCREMENT2
104,103.06,64.29,-0.64,INCREMENT2
105,158.26,30.69,-0.67,INCREMENT2
106,69.84,63.53,-0.67,INCREMENT2
107,76.01,63.91,-0.65,INCREMENT2
108,8.52,63.16,-0.63,INCREMENT2
109,35.47,61.0,-0.68,INCREMENT2
110,26.63,64.29,-0.68,INCREMENT2
111,23.77,59.63,-0.66,INCREMENT2
112,78.31,63.91,-0.67,INCREMENT2
113,86.1,64.29,-0.65,INCREMENT2
114,20.03,63.91,-0.68,INCREMENT2
115,25.26,63.91,-0.67,INCREMENT2
116,62.99,64.29,-0.64,INCREMENT2
117,19.7,62.42,-0.66,INCREMENT2
118,12.07,62.42,-0.65,INCREMENT2
119,86.1,62.42,-0.67,INCREMENT2
120,66.24,62.79,-0.67,INCREMENT2
121,86.1,63.91,-0.65,INCREMENT2
122,86.1,48.58,-0.66,INCREMENT2
123,67.99,63.91,-0.68,INCREMENT2
124,56.07,64.29,-0.67,INCREMENT2
125,373.24,31.48,-0.68,INCREMENT2
126,61.47,62.79,-0.69,INCREMENT2
127,25.0,63.53,-0.68,INCREMENT2
128,21.65,60.31,-0.66,INCREMENT2
129,95.55,63.53,-0.65,INCREMENT2
130,10.88,54.98,-0.5,INCREMENT3
131,266.48,55.27,-0.52,INCREMENT3
132,243.04,57.69,-0.56,INCREMENT3
133,9.82,54.98,-0.56,INCREMENT3
134,17.03,56.15,-0.55,INCREMENT3
135,25.79,55.27,-0.54,INCREMENT3
136,122.11,55.27,-0.53,INCREMENT3
137,34.48,55.27,-0.51,INCREMENT3
138,127.99,29.03,-0.53,INCREMENT3
139,89.04,55.27,-0.53,INCREMENT3
140,69.84,55.27,-0.55,INCREMENT3
141,149.46,56.45,-0.54,INCREMENT3
142,223.31,55.27,-0.52,INCREMENT3
143,inf,28.35,-0.52,INCREMENT3
144,223.31,55.27,-0.51,INCREMENT3
145,149.46,55.27,-0.54,INCREMENT3
146,15.09,47.03,-0.57,INCREMENT3
147,103.06,54.98,-0.58,INCREMENT3
148,179.26,55.27,-0.55,INCREMENT3
149,29.53,55.27,-0.55,INCREMENT3
150,11.15,55.56,-0.55,INCREMENT3
151,373.24,28.86,-0.55,INCREMENT3
152,1053.56,43.44,-0.55,INCREMENT3
153,243.04,55.27,-0.54,INCREMENT3
154,19.86,55.27,-0.52,INCREMENT3
155,29.88,58.0,-0.53,INCREMENT3
156,25.52,54.7,-0.54,INCREMENT3
157,48.55,55.27,-0.53,INCREMENT3
158,86.1,55.27,-0.52,INCREMENT3
159,35.98,54.7,-0.51,INCREMENT3
